hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,metric
4ec1fc58,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features
4ec1fc58,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features
9dc644f8,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features
9dc644f8,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features
7c029f3f,gnode,64,torch.nn.functional.softplus,280,64.0,3.0,gnode,inventing_features
7c029f3f,gnode,64,torch.nn.functional.softplus,280,64.0,3.0,gnode,inventing_features
64358cd7,gnode,64,torch.nn.functional.softplus,280,64.0,3.0,gnode,inventing_features
64358cd7,gnode,64,torch.nn.functional.softplus,280,64.0,3.0,gnode,inventing_features
4c485089,fr,64,torch.nn.functional.softplus,200,,,gnode,underfitting
4c485089,fr,64,torch.nn.functional.softplus,200,,,gnode,underfitting
1f5ba8c6,fr,64,,200,,,gnode,underfitting
1f5ba8c6,fr,64,,200,,,gnode,underfitting
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting
4c485089,fr,64,torch.nn.functional.softplus,200,,,gnode,underfitting
4c485089,fr,64,torch.nn.functional.softplus,200,,,gnode,underfitting
1f5ba8c6,fr,64,,200,,,gnode,underfitting
1f5ba8c6,fr,64,,200,,,gnode,underfitting
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting
3ba4b0a9,fr,32,,280,,,gnode,underfitting
3ba4b0a9,fr,32,,280,,,gnode,underfitting
5c1ddcd4,fr,64,,280,,,gnode,underfitting
5c1ddcd4,fr,64,,280,,,gnode,underfitting
c41cfd0f,node,3,torch.nn.functional.softplus,200,128.0,3.0,gnode,top_with_gt
c41cfd0f,node,3,torch.nn.functional.softplus,200,128.0,3.0,gnode,top_with_gt
6fabb7c5,node,3,,200,128.0,3.0,gnode,top_with_gt
6fabb7c5,node,3,,200,128.0,3.0,gnode,top_with_gt
8f69cfdc,node,2,torch.nn.functional.softplus,280,128.0,3.0,gnode,top_without_gt
8f69cfdc,node,2,torch.nn.functional.softplus,280,128.0,3.0,gnode,top_without_gt
0cc3384a,node,2,,280,128.0,3.0,gnode,top_without_gt
0cc3384a,node,2,,280,128.0,3.0,gnode,top_without_gt
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
a058d181,fr,128,300,250,,250.0,gru,underfitting
945575ce,fr,64,300,250,,250.0,gru,underfitting
a058d181,fr,128,300,250,,250.0,gru,underfitting
945575ce,fr,64,300,250,,250.0,gru,underfitting
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
ff61b4da,fr,64,300,250,,250.0,gru,underfitting
ff61b4da,fr,64,300,250,,250.0,gru,underfitting
c16d6269,fr,128,300,250,,250.0,gru,underfitting
c16d6269,fr,128,300,250,,250.0,gru,underfitting
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
01743df6,gru,64,300,200,,200.0,gru,underfitting
01743df6,gru,64,300,200,,200.0,gru,underfitting
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
3fb5b686,gru,128,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
3fb5b686,gru,128,300,200,torch.nn.functional.softplus,200.0,gru,underfitting
c142fbce,gru,64,300,200,,200.0,gru,underfitting
c142fbce,gru,64,300,200,,200.0,gru,underfitting
b8bcd830,gru,128,300,200,,200.0,gru,underfitting
b8bcd830,gru,128,300,200,,200.0,gru,underfitting
b08fb16f,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
9bee8551,gru,32,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
b08fb16f,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
9bee8551,gru,32,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
c89d03ff,gru,256,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
c89d03ff,gru,256,300,280,torch.nn.functional.softplus,280.0,gru,underfitting
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
945575ce,fr,64,300,250,,250.0,gru,underfitting
945575ce,fr,64,300,250,,250.0,gru,underfitting
a058d181,fr,128,300,250,,250.0,gru,underfitting
a058d181,fr,128,300,250,,250.0,gru,underfitting
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting
ff61b4da,fr,64,300,250,,250.0,gru,underfitting
ff61b4da,fr,64,300,250,,250.0,gru,underfitting
c16d6269,fr,128,300,250,,250.0,gru,underfitting
c16d6269,fr,128,300,250,,250.0,gru,underfitting
