hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,category,subcategory
f5bb38d1,gnode,64,torch.nn.functional.softplus,200,64.0,3.0,gnode,inventing_features,high_rate_low_state
f5bb38d1,gnode,64,torch.nn.functional.softplus,200,64.0,3.0,gnode,inventing_features,high_rate_low_state
f492a5f4,gnode,64,torch.nn.functional.softplus,200,64.0,3.0,gnode,inventing_features,high_rate_low_state
f492a5f4,gnode,64,torch.nn.functional.softplus,200,64.0,3.0,gnode,inventing_features,high_rate_low_state
5affcbc0,node,64,torch.nn.functional.softplus,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
5affcbc0,node,64,torch.nn.functional.softplus,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
2ac77f90,node,64,,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
2ac77f90,node,64,,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
cd9a7f6e,node,64,torch.nn.functional.softplus,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
cd9a7f6e,node,64,torch.nn.functional.softplus,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
2decde61,node,64,,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
2decde61,node,64,,280,128.0,3.0,gnode,inventing_features,high_rate_low_state
4ec1fc58,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features,high_rate_low_state
4ec1fc58,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features,high_rate_low_state
9dc644f8,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features,high_rate_low_state
9dc644f8,gnode,64,torch.nn.functional.softplus,250,64.0,3.0,gnode,inventing_features,high_rate_low_state
a9c6abc0,node,64,torch.nn.functional.softplus,200,128.0,3.0,gnode,inventing_features,high_rate_low_state
a9c6abc0,node,64,torch.nn.functional.softplus,200,128.0,3.0,gnode,inventing_features,high_rate_low_state
b8b48028,node,64,,200,128.0,3.0,gnode,inventing_features,high_rate_low_state
b8b48028,node,64,,200,128.0,3.0,gnode,inventing_features,high_rate_low_state
5b5eed4c,node,64,torch.nn.functional.softplus,200,128.0,3.0,gnode,inventing_features,high_rate_low_state
