hashname,20250412_PC_gNODE_sweep_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_vf_hidden_size,_vf_num_layers,_output_nonlinearity,_heldin_size,_heldout_size,_alpha,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion
35c1a647,32,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
42f0c8e5,10,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
f5bb38d1,64,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
c13a73bf,2,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
7f66f908,3,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
2ebdff45,5,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
7f66f908,3,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
c13a73bf,2,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
35c1a647,32,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
2ebdff45,5,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
42f0c8e5,10,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
f5bb38d1,64,500,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
d7c4a37a,3,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
6f68cc36,2,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
6f68cc36,2,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
d7c4a37a,3,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
b60b4f6a,5,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
b60b4f6a,5,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
873d8290,10,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
873d8290,10,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
447dc50b,32,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
447dc50b,32,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
f492a5f4,64,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
f492a5f4,64,501,0,2.00E-03,0,128,10,64,3,torch.nn.functional.softplus,200,300,1.00E-01,200,100,1.00E+00,softplus,poisson,1.00E+00
95b6b39c,32,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
04a67a9f,5,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
ceb58bd8,2,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
62b9e2e9,3,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
5a384b98,10,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
ceb58bd8,2,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
95b6b39c,32,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
04a67a9f,5,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
62b9e2e9,3,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
5a384b98,10,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
5affcbc0,64,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
5affcbc0,64,500,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
309eb94c,2,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
309eb94c,2,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
6d63ae4a,3,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
6d63ae4a,3,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
d845f25f,5,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
e69cba41,10,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
e69cba41,10,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
d845f25f,5,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
becc9a62,32,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2ac77f90,64,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
8f69cfdc,2,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
becc9a62,32,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2ac77f90,64,500,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
8f69cfdc,2,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
07a3ee5f,5,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
7d511902,3,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
07a3ee5f,5,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
7d511902,3,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2a457ed5,10,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2a457ed5,10,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
8aba258a,32,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
8aba258a,32,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
cd9a7f6e,64,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
cd9a7f6e,64,501,0,2.00E-03,0,128,10,128,3,torch.nn.functional.softplus,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
0cc3384a,2,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
d7001813,3,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
0cc3384a,2,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
d7001813,3,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
6bd5e9f9,5,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
6bd5e9f9,5,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
80fc3361,10,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
80fc3361,10,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
b9fe2392,32,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2decde61,64,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
b9fe2392,32,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
2decde61,64,501,0,2.00E-03,0,128,10,128,3,None,280,300,5.00E-02,280,20,1.00E+00,softplus,poisson,1.00E+00
bb6d13e5,512,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
667d6c05,256,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
9d8418cd,64,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
b0c84d10,128,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
10fd576c,32,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
667d6c05,256,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
bb6d13e5,512,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
fc849e05,32,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
9d8418cd,64,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
10fd576c,32,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
b0c84d10,128,500,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
fc849e05,32,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
57169a92,64,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
57169a92,64,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
7f4a0dca,128,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
7f4a0dca,128,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
4a30d451,256,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
4a30d451,256,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
3aaf083a,512,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
3aaf083a,512,500,0,1.00E-04,1.00E-04,128,10,,,None,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
fdb85e91,32,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
fdb85e91,32,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
672cee54,64,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
672cee54,64,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
946eb608,128,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
946eb608,128,501,0,1.00E-04,1.00E-04,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.00E+00,softplus,poisson,1.00E+00
