hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
a90fc898,gru,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662543654441833,0.6153337359428406,0.1595906466245651,0.9996552467346193
c75c4553,gru,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7693901658058167,0.6807267665863037,0.1833233088254928,0.9996070265769958
bb0b0e16,gru,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7000076770782471,0.4410396218299866,0.1100940778851509,0.9994781613349916
1d767d43,gru,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5065852999687195,0.3702193796634674,0.0928480997681617,0.9987452030181884
cfe4ccea,gru,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6990727782249451,0.3982123434543609,0.0974068790674209,0.9978654980659484
0fab825a,gru,32,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5145257711410522,0.3750092685222626,0.0940761566162109,0.9987552165985109
c75c4553,gru,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7693901658058167,0.6807267665863037,0.1833233088254928,0.9996070265769958
a90fc898,gru,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662543654441833,0.6153337359428406,0.1595906466245651,0.9996552467346193
bb0b0e16,gru,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7000076770782471,0.4410396218299866,0.1100940778851509,0.9994781613349916
0fab825a,gru,32,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5145257711410522,0.3750092685222626,0.0940761566162109,0.9987552165985109
cfe4ccea,gru,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6990727782249451,0.3982123434543609,0.0974068790674209,0.9978654980659484
1d767d43,gru,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5065852999687195,0.3702193796634674,0.0928480997681617,0.9987452030181884
b08bd986,gru,64,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.68841552734375,0.3929940164089203,0.0961592867970466,0.9978606104850768
b08bd986,gru,64,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.68841552734375,0.3929940164089203,0.0961592867970466,0.9978606104850768
1cf54d8a,gru,128,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6965371966362,0.4357289671897888,0.1088475435972213,0.9994805455207824
1cf54d8a,gru,128,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6965371966362,0.4357289671897888,0.1088475435972213,0.9994805455207824
fb2a0050,gru,256,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662824988365173,0.6153461933135986,0.1596155315637588,0.999655544757843
fb2a0050,gru,256,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662824988365173,0.6153461933135986,0.1596155315637588,0.999655544757843
beb045e5,gru,512,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7695460915565491,0.6809680461883545,0.1833837628364563,0.9996069073677064
beb045e5,gru,512,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7695460915565491,0.6809680461883545,0.1833837628364563,0.9996069073677064
ff66ece8,gru,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6743136644363403,0.4884850084781647,0.1223871558904647,0.9989932179450988
ff66ece8,gru,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6743136644363403,0.4884850084781647,0.1223871558904647,0.9989932179450988
ab098499,gru,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.3018513023853302,0.1231598109006881,0.0316328406333923,0.9973423480987548
ab098499,gru,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.3018513023853302,0.1231598109006881,0.0316328406333923,0.9973423480987548
79a68ce9,gru,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7454588413238525,0.4943939447402954,0.1230589523911476,0.9995033144950868
79a68ce9,gru,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7454588413238525,0.4943939447402954,0.1230589523911476,0.9995033144950868
9c7ed973,gru,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
9c7ed973,gru,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
ccdb1b61,gru,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.1753147095441818,0.999506413936615
ccdb1b61,gru,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.1753147095441818,0.999506413936615
bd1e055c,gru,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.1224267929792404,0.99899023771286
bd1e055c,gru,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.1224267929792404,0.99899023771286
