hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers
a6ea90b2,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
f49d0127,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
7314c24b,32,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
341766fc,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c631a64c,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
b76f7e9a,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
341766fc,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
b76f7e9a,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
a6ea90b2,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c631a64c,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
f49d0127,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
7314c24b,32,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
a058d181,128,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
945575ce,64,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
a058d181,128,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
945575ce,64,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c729395b,256,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c729395b,256,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
e3b78345,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
e3b78345,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
57b349b4,512,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
57b349b4,512,500,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
99e827ab,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
99e827ab,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
55fe4874,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
55fe4874,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
8b2cf091,256,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
8b2cf091,256,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
28c1a7de,512,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
28c1a7de,512,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
7cb6f585,32,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
7cb6f585,32,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
ff61b4da,64,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
ff61b4da,64,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c16d6269,128,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
c16d6269,128,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
247fd6a4,256,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
247fd6a4,256,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
8f6f3eb3,512,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
8f6f3eb3,512,501,0,1.00E-04,1.00E-04,128,5,None,250,300,250,50,1.00E+00,softplus,poisson,1.00E+00,,,
81cf122c,64,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
a701dc07,32,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
e6275718,10,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
488a7510,3,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
63d789d4,2,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
bbdaadc8,5,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
e6275718,10,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
bbdaadc8,5,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
81cf122c,64,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
63d789d4,2,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
a701dc07,32,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
488a7510,3,500,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
caa67dc7,3,501,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
