hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
a6ea90b2,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8040666580200195,0.5693206191062927,0.11608828604221344,0.9987475872039795
f49d0127,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8064892888069153,0.43090900778770447,0.08506212383508682,0.9981899857521057
7314c24b,32,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255710244178772,0.5674997568130493,0.11320170015096664,0.9985395669937134
341766fc,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255114197731018,0.5678228735923767,0.11330632865428925,0.9985511302947998
c631a64c,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.866729199886322,0.37465548515319824,0.07450536638498306,0.9965750575065613
b76f7e9a,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7884659171104431,0.5142686367034912,0.10464441031217575,0.9981154203414917
341766fc,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255114197731018,0.5678228735923767,0.11330632865428925,0.9985511302947998
b76f7e9a,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7884659171104431,0.5142686367034912,0.10464441031217575,0.9981154203414917
a6ea90b2,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8040666580200195,0.5693206191062927,0.11608828604221344,0.9987475872039795
c631a64c,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.866729199886322,0.37465548515319824,0.07450536638498306,0.9965750575065613
f49d0127,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8064892888069153,0.43090900778770447,0.08506212383508682,0.9981899857521057
7314c24b,32,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255710244178772,0.5674997568130493,0.11320170015096664,0.9985395669937134
a058d181,128,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8075908422470093,0.4308691918849945,0.08506302535533905,0.9981891512870789
945575ce,64,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8632076382637024,0.374398410320282,0.07444721460342407,0.9965786933898926
a058d181,128,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8075908422470093,0.4308691918849945,0.08506302535533905,0.9981891512870789
945575ce,64,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8632076382637024,0.374398410320282,0.07444721460342407,0.9965786933898926
c729395b,256,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7883650064468384,0.5159197449684143,0.1048976480960846,0.9981197714805603
c729395b,256,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7883650064468384,0.5159197449684143,0.1048976480960846,0.9981197714805603
e3b78345,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9064145684242249,0.5608255863189697,0.11173507571220398,0.998613715171814
e3b78345,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9064145684242249,0.5608255863189697,0.11173507571220398,0.998613715171814
57b349b4,512,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8047273755073547,0.5693754553794861,0.11610103398561478,0.9987469911575317
57b349b4,512,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8047273755073547,0.5693754553794861,0.11610103398561478,0.9987469911575317
99e827ab,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8624496459960938,0.37350887060165405,0.07427994906902313,0.9965872764587402
99e827ab,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8624496459960938,0.37350887060165405,0.07427994906902313,0.9965872764587402
55fe4874,128,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8210737705230713,0.4283558130264282,0.08453161269426346,0.9981306195259094
