hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
a90fc898,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662543654441833,0.6153337359428406,0.15959064662456512,0.9996552467346191
c75c4553,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7693901658058167,0.6807267665863037,0.18332330882549286,0.9996070265769958
bb0b0e16,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7000076770782471,0.4410396218299866,0.11009407788515091,0.9994781613349915
1d767d43,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5065852999687195,0.3702193796634674,0.09284809976816177,0.9987452030181885
cfe4ccea,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6990727782249451,0.39821234345436096,0.09740687906742096,0.9978654980659485
0fab825a,32,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5145257711410522,0.3750092685222626,0.09407615661621094,0.9987552165985107
c75c4553,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7693901658058167,0.6807267665863037,0.18332330882549286,0.9996070265769958
a90fc898,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662543654441833,0.6153337359428406,0.15959064662456512,0.9996552467346191
bb0b0e16,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7000076770782471,0.4410396218299866,0.11009407788515091,0.9994781613349915
0fab825a,32,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5145257711410522,0.3750092685222626,0.09407615661621094,0.9987552165985107
cfe4ccea,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6990727782249451,0.39821234345436096,0.09740687906742096,0.9978654980659485
1d767d43,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.5065852999687195,0.3702193796634674,0.09284809976816177,0.9987452030181885
b08bd986,64,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.68841552734375,0.3929940164089203,0.09615928679704666,0.9978606104850769
b08bd986,64,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.68841552734375,0.3929940164089203,0.09615928679704666,0.9978606104850769
1cf54d8a,128,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6965371966362,0.4357289671897888,0.10884754359722137,0.9994805455207825
1cf54d8a,128,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6965371966362,0.4357289671897888,0.10884754359722137,0.9994805455207825
fb2a0050,256,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662824988365173,0.6153461933135986,0.15961553156375885,0.999655544757843
fb2a0050,256,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7662824988365173,0.6153461933135986,0.15961553156375885,0.999655544757843
beb045e5,512,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7695460915565491,0.6809680461883545,0.1833837628364563,0.9996069073677063
beb045e5,512,500,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7695460915565491,0.6809680461883545,0.1833837628364563,0.9996069073677063
ff66ece8,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6743136644363403,0.4884850084781647,0.12238715589046478,0.9989932179450989
ff66ece8,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6743136644363403,0.4884850084781647,0.12238715589046478,0.9989932179450989
ab098499,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.3018513023853302,0.12315981090068817,0.031632840633392334,0.9973423480987549
ab098499,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.3018513023853302,0.12315981090068817,0.031632840633392334,0.9973423480987549
79a68ce9,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7454588413238525,0.4943939447402954,0.12305895239114761,0.9995033144950867
79a68ce9,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7454588413238525,0.4943939447402954,0.12305895239114761,0.9995033144950867
9c7ed973,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
9c7ed973,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
ccdb1b61,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.17531470954418182,0.999506413936615
ccdb1b61,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.17531470954418182,0.999506413936615
bd1e055c,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.12242679297924042,0.9989902377128601
bd1e055c,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.12242679297924042,0.9989902377128601
5786594d,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.11756595969200134,0.03029671125113964,0.9972964525222778
5786594d,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.11756595969200134,0.03029671125113964,0.9972964525222778
