hashname,similarity_to_ground_truth
35c1a647,0.05627429
42f0c8e5,0.06027181
f5bb38d1,0.038069453
c13a73bf,0.04165887
7f66f908,0.03367176
2ebdff45,0.035612952
7f66f908,0.03367176
c13a73bf,0.04165887
35c1a647,0.05627429
2ebdff45,0.035612952
42f0c8e5,0.06027181
f5bb38d1,0.038069453
d7c4a37a,0.048832975
6f68cc36,0.03893045
6f68cc36,0.03893045
d7c4a37a,0.048832975
b60b4f6a,0.04631112
b60b4f6a,0.04631112
873d8290,0.048286546
873d8290,0.048286546
447dc50b,0.053547274
447dc50b,0.053547274
f492a5f4,0.035753295
f492a5f4,0.035753295
95b6b39c,0.033319358
04a67a9f,0.03810702
ceb58bd8,0.038041253
62b9e2e9,0.055955466
5a384b98,0.045579188
ceb58bd8,0.038041253
95b6b39c,0.033319358
04a67a9f,0.03810702
62b9e2e9,0.055955466
5a384b98,0.045579188
5affcbc0,0.05867536
5affcbc0,0.05867536
309eb94c,0.055834904
309eb94c,0.055834904
6d63ae4a,0.039829746
6d63ae4a,0.039829746
d845f25f,0.04449893
e69cba41,0.03697309
e69cba41,0.03697309
d845f25f,0.04449893
becc9a62,0.05126352
2ac77f90,0.061813597
8f69cfdc,0.037495077
becc9a62,0.05126352
2ac77f90,0.061813597
8f69cfdc,0.037495077
07a3ee5f,0.03607203
7d511902,0.0538582
07a3ee5f,0.03607203
7d511902,0.0538582
2a457ed5,0.044904415
2a457ed5,0.044904415
8aba258a,0.05334868
8aba258a,0.05334868
cd9a7f6e,0.040770654
cd9a7f6e,0.040770654
0cc3384a,0.050508853
d7001813,0.03504767
0cc3384a,0.050508853
d7001813,0.03504767
6bd5e9f9,0.05329164
6bd5e9f9,0.05329164
80fc3361,0.03329251
80fc3361,0.03329251
b9fe2392,0.038258474
2decde61,0.04096032
b9fe2392,0.038258474
2decde61,0.04096032
bb6d13e5,0.053799484
667d6c05,0.0522098
9d8418cd,0.066173725
b0c84d10,0.047484636
10fd576c,0.049538545
667d6c05,0.0522098
bb6d13e5,0.053799484
fc849e05,0.040427014
9d8418cd,0.066173725
10fd576c,0.049538545
b0c84d10,0.047484636
fc849e05,0.040427014
57169a92,0.053055007
57169a92,0.053055007
7f4a0dca,0.052908693
7f4a0dca,0.052908693
4a30d451,0.05556832
4a30d451,0.05556832
3aaf083a,0.058019154
3aaf083a,0.058019154
fdb85e91,0.04348925
fdb85e91,0.04348925
672cee54,0.054929323
672cee54,0.054929323
946eb608,0.05294812
946eb608,0.05294812
f561fd9e,0.051404074
f561fd9e,0.051404074
1bf19918,0.03259216
1bf19918,0.03259216
9e2e31fe,0.058298074
9e2e31fe,0.058298074
ece98f7b,0.06927324
ece98f7b,0.06927324
021612fc,0.051600907
021612fc,0.051600907
e60b5326,0.05928611
e60b5326,0.05928611
1221f4a0,0.03299934
1221f4a0,0.03299934
b0c84d10,0.047484636
fc849e05,0.040427014
667d6c05,0.0522098
9d8418cd,0.066173725
b0c84d10,0.047484636
fc849e05,0.040427014
bb6d13e5,0.053799484
667d6c05,0.0522098
10fd576c,0.049538545
9d8418cd,0.066173725
bb6d13e5,0.053799484
10fd576c,0.049538545
57169a92,0.053055007
57169a92,0.053055007
7f4a0dca,0.052908693
7f4a0dca,0.052908693
4a30d451,0.05556832
4a30d451,0.05556832
3aaf083a,0.058019154
3aaf083a,0.058019154
fdb85e91,0.04348925
fdb85e91,0.04348925
672cee54,0.054929323
672cee54,0.054929323
946eb608,0.05294812
946eb608,0.05294812
f561fd9e,0.051404074
f561fd9e,0.051404074
1bf19918,0.03259216
1bf19918,0.03259216
9e2e31fe,0.058298074
9e2e31fe,0.058298074
ece98f7b,0.06927324
ece98f7b,0.06927324
021612fc,0.051600907
021612fc,0.051600907
e60b5326,0.05928611
e60b5326,0.05928611
1221f4a0,0.03299934
1221f4a0,0.03299934
0a086b19,0.04408025
8eb73e78,0.028556032
4ec1fc58,0.051042024
53b7548a,0.048277903
2e454f5d,0.034069546
d566470b,0.050098706
53b7548a,0.048277903
2e454f5d,0.034069546
0a086b19,0.04408025
8eb73e78,0.028556032
d566470b,0.050098706
4ec1fc58,0.051042024
932a575d,0.040125035
932a575d,0.040125035
d4dfdc16,0.027440356
d4dfdc16,0.027440356
b77e32df,0.053822756
b77e32df,0.053822756
047eb157,0.03672393
047eb157,0.03672393
734917aa,0.032792743
9dc644f8,0.05244228
734917aa,0.032792743
9dc644f8,0.05244228
3cdf23ce,0.07374718
3d84f657,0.07203581
4c485089,0.061920602
849e5565,0.08583474
3cdf23ce,0.07374718
3d84f657,0.07203581
95e869f5,0.074340194
4c485089,0.061920602
849e5565,0.08583474
87cad0a3,0.067520246
95e869f5,0.074340194
87cad0a3,0.067520246
1f5ba8c6,0.07019284
1f5ba8c6,0.07019284
ac2cd44c,0.06349098
ac2cd44c,0.06349098
51898186,0.07755936
51898186,0.07755936
27ea651f,0.065160945
27ea651f,0.065160945
2650a493,0.0670148
2650a493,0.0670148
472d76b9,0.074366674
472d76b9,0.074366674
d12d0fcb,0.06571968
d12d0fcb,0.06571968
59aafcad,0.075236835
59aafcad,0.075236835
ff5116ad,0.07059199
ff5116ad,0.07059199
0517d079,0.06583031
0517d079,0.06583031
d1e41d15,0.06513989
d1e41d15,0.06513989
5cc314ac,0.069018744
5cc314ac,0.069018744
9cfa68af,0.07339769
9cfa68af,0.07339769
822fb8eb,0.06262743
822fb8eb,0.06262743
01745b0e,0.053443607
57420c5d,0.051282123
19f85d76,0.047091223
5507ff92,0.033013787
b7f1d587,0.040966142
01745b0e,0.053443607
57420c5d,0.051282123
19f85d76,0.047091223
5507ff92,0.033013787
b7f1d587,0.040966142
a9c6abc0,0.0554609
a9c6abc0,0.0554609
398e186f,0.043419275
ee6f4460,0.049228225
ee6f4460,0.049228225
398e186f,0.043419275
23a73c5f,0.039122935
23a73c5f,0.039122935
44cb59e9,0.043218322
44cb59e9,0.043218322
e3c824c4,0.050165318
e3c824c4,0.050165318
b8b48028,0.036984377
b8b48028,0.036984377
662d3bc2,0.038942702
662d3bc2,0.038942702
c41cfd0f,0.040684283
c41cfd0f,0.040684283
fbd661a2,0.057969797
fbd661a2,0.057969797
f45a1eb6,0.050826613
f45a1eb6,0.050826613
4781235d,0.033554707
4781235d,0.033554707
5b5eed4c,0.040032804
5b5eed4c,0.040032804
a7380367,0.050691515
a7380367,0.050691515
6fabb7c5,0.041156355
6fabb7c5,0.041156355
4b386e39,0.03273452
4b386e39,0.03273452
140c6e8f,0.06180877
140c6e8f,0.06180877
fd514f56,0.052649956
fd514f56,0.052649956
4c2d6827,0.059343416
4c2d6827,0.059343416
7f66f908,0.03367176
35c1a647,0.05627429
2ebdff45,0.035612952
42f0c8e5,0.06027181
f5bb38d1,0.038069453
c13a73bf,0.04165887
2ebdff45,0.035612952
f5bb38d1,0.038069453
35c1a647,0.05627429
c13a73bf,0.04165887
42f0c8e5,0.06027181
7f66f908,0.03367176
eaa8c796,0.07348461
b15058d9,0.068319455
83df3de8,0.080333106
599d7410,0.07594323
f9b9eed0,0.07555257
d82cf1d3,0.07494843
b15058d9,0.068319455
83df3de8,0.080333106
eaa8c796,0.07348461
d82cf1d3,0.07494843
599d7410,0.07594323
f9b9eed0,0.07555257
6496136e,0.06821023
6496136e,0.06821023
5d123f08,0.07243389
5d123f08,0.07243389
39ca03fc,0.07479305
39ca03fc,0.07479305
5e371ba8,0.06904034
5e371ba8,0.06904034
536c050b,0.04866418
87244eb0,0.04054335
3d41d2b1,0.05457316
7c029f3f,0.05649851
3a1c93f5,0.052484334
99eb3cdc,0.046115007
99eb3cdc,0.046115007
3a1c93f5,0.052484334
87244eb0,0.04054335
7c029f3f,0.05649851
3d41d2b1,0.05457316
536c050b,0.04866418
c7a1b705,0.030724151
c7a1b705,0.030724151
d00662c5,0.0347813
d00662c5,0.0347813
b8751e26,0.043748967
b6e5db47,0.054484572
b8751e26,0.043748967
b6e5db47,0.054484572
83c15e0b,0.04350433
83c15e0b,0.04350433
64358cd7,0.04456186
64358cd7,0.04456186
5be79c3c,0.03632894
7d37cc9b,0.03399071
91a47db1,0.027094938
188ab288,0.043391805
7a31afc2,0.037701212
5be79c3c,0.03632894
7d37cc9b,0.03399071
188ab288,0.043391805
91a47db1,0.027094938
7a31afc2,0.037701212
5d4dfe4a,0.041758932
5d4dfe4a,0.041758932
49e261a4,0.03385011
49e261a4,0.03385011
d427903d,0.040568348
d427903d,0.040568348
5f1af55e,0.053574
5f1af55e,0.053574
b5390459,0.030502155
b5390459,0.030502155
964dd9a7,0.039387204
964dd9a7,0.039387204
02a69630,0.03880159
02a69630,0.03880159
106f9119,0.037233394
106f9119,0.037233394
2c321edb,0.049223382
2c321edb,0.049223382
fd988c4f,0.040676955
fd988c4f,0.040676955
baf7dedf,0.050936777
baf7dedf,0.050936777
72a3d0b9,0.04814928
72a3d0b9,0.04814928
04e7df0e,0.03408704
1a17da42,0.03602738
1a17da42,0.03602738
04e7df0e,0.03408704
a4d81a60,0.03463702
a4d81a60,0.03463702
357597a4,0.049813427
357597a4,0.049813427
3b63a68e,0.04645638
3b63a68e,0.04645638
6a406145,0.0345146
6a406145,0.0345146
1e9588f2,0.040867053
1e9588f2,0.040867053
849e5565,0.08583474
87cad0a3,0.067520246
3cdf23ce,0.07374718
95e869f5,0.074340194
4c485089,0.061920602
3d84f657,0.07203581
849e5565,0.08583474
87cad0a3,0.067520246
95e869f5,0.074340194
3cdf23ce,0.07374718
4c485089,0.061920602
3d84f657,0.07203581
1f5ba8c6,0.07019284
27ea651f,0.065160945
1f5ba8c6,0.07019284
27ea651f,0.065160945
ac2cd44c,0.06349098
51898186,0.07755936
ac2cd44c,0.06349098
51898186,0.07755936
2650a493,0.0670148
2650a493,0.0670148
472d76b9,0.074366674
472d76b9,0.074366674
d12d0fcb,0.06571968
d12d0fcb,0.06571968
59aafcad,0.075236835
59aafcad,0.075236835
ff5116ad,0.07059199
ff5116ad,0.07059199
0517d079,0.06583031
0517d079,0.06583031
d1e41d15,0.06513989
d1e41d15,0.06513989
5cc314ac,0.069018744
5cc314ac,0.069018744
9cfa68af,0.07339769
