hashname,model,_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
a6ea90b2,fr,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8040666580200195,0.5693206191062927,0.1160882860422134,0.9987475872039796
f49d0127,fr,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8064892888069153,0.4309090077877044,0.0850621238350868,0.9981899857521056
7314c24b,fr,32,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255710244178772,0.5674997568130493,0.1132017001509666,0.9985395669937134
341766fc,fr,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255114197731018,0.5678228735923767,0.1133063286542892,0.9985511302947998
c631a64c,fr,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.866729199886322,0.3746554851531982,0.074505366384983,0.9965750575065612
b76f7e9a,fr,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7884659171104431,0.5142686367034912,0.1046444103121757,0.9981154203414916
341766fc,fr,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255114197731018,0.5678228735923767,0.1133063286542892,0.9985511302947998
b76f7e9a,fr,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7884659171104431,0.5142686367034912,0.1046444103121757,0.9981154203414916
a6ea90b2,fr,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8040666580200195,0.5693206191062927,0.1160882860422134,0.9987475872039796
c631a64c,fr,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.866729199886322,0.3746554851531982,0.074505366384983,0.9965750575065612
f49d0127,fr,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8064892888069153,0.4309090077877044,0.0850621238350868,0.9981899857521056
7314c24b,fr,32,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9255710244178772,0.5674997568130493,0.1132017001509666,0.9985395669937134
a058d181,fr,128,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8075908422470093,0.4308691918849945,0.085063025355339,0.9981891512870787
945575ce,fr,64,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8632076382637024,0.374398410320282,0.074447214603424,0.9965786933898926
a058d181,fr,128,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8075908422470093,0.4308691918849945,0.085063025355339,0.9981891512870787
945575ce,fr,64,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8632076382637024,0.374398410320282,0.074447214603424,0.9965786933898926
c729395b,fr,256,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7883650064468384,0.5159197449684143,0.1048976480960846,0.9981197714805604
c729395b,fr,256,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7883650064468384,0.5159197449684143,0.1048976480960846,0.9981197714805604
e3b78345,fr,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9064145684242249,0.5608255863189697,0.1117350757122039,0.998613715171814
e3b78345,fr,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9064145684242249,0.5608255863189697,0.1117350757122039,0.998613715171814
57b349b4,fr,512,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8047273755073547,0.5693754553794861,0.1161010339856147,0.9987469911575316
57b349b4,fr,512,500,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8047273755073547,0.5693754553794861,0.1161010339856147,0.9987469911575316
99e827ab,fr,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8624496459960938,0.373508870601654,0.0742799490690231,0.9965872764587402
99e827ab,fr,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8624496459960938,0.373508870601654,0.0742799490690231,0.9965872764587402
