rateL,latent_size,rank,loss,paths
39,64,5,0.000219084438867867,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=39_seed=0_rank=5_latent_size=64/
1,64,3,1.9704757505678572e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_rank=3_latent_size=64/
39,64,2,4.802370312972926e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_rank=2_latent_size=64/
39,64,2,4.802370312972926e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_rank=2_latent_size=64/
1,64,2,1.700315624475479e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=1_seed=0_rank=2_latent_size=64/
39,64,5,6.609003321500495e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_rank=5_latent_size=64/
1,64,3,3.822366124950349e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=1_seed=0_rank=3_latent_size=64/
39,128,2,6.1027776609989814e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_rank=2_latent_size=128/
1,128,2,1.0161229511140846e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=1_seed=0_rank=2_latent_size=128/
1,64,3,3.822366124950349e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=1_seed=0_rank=3_latent_size=64/
1,64,5,2.4254648451460525e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_rank=5_latent_size=64/
1,128,2,0.0003146810340695083,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_rank=2_latent_size=128/
39,64,5,6.609003321500495e-06,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=256_weight_decay=1.00E-05_learning_rate=1.00E-04_noise=0.00E+00_rateL=39_seed=0_rank=5_latent_size=64/
1,64,5,2.4254648451460525e-05,/scratch/gpfs/ad2002/content/trained_models/task-trained/20250329_PClicks_lr_grid_test/max_epochs=500_batch_size=64_weight_decay=1.00E-05_learning_rate=1.00E-03_noise=0.00E+00_rateL=1_seed=0_rank=5_latent_size=64/
