parameter,combo_mean,overall_mean,t_stat,p_value,significant
latent_size,79.74468085106383,108.60410557184751,4.048480730533643,5.9229682425880025e-05,True
max_epochs,500.49645390070924,500.49560117302053,-0.032108307937266684,0.9744002915942178,False
seed,0.0,0.0,,,False
lr,0.0018517730496453901,0.0010527859237536657,-24.28719252246454,1.7364536358254015e-98,True
weight_decay,7.801418439716313e-06,4.98533724340176e-05,24.287192522464537,1.7364536358254018e-98,True
encoder_size,128.0,128.0,,,False
file_index,12.205673758865249,11.756598240469208,-1.2348568002937823,0.21756860776941309,False
vf_hidden_size,102.4,104.42105263157895,1.331520305001021,0.18358383266012748,False
vf_num_layers,3.0,3.0,,,False
heldin_size,242.9787234042553,242.52199413489737,-0.2593426076838084,0.7954931594624096,False
heldout_size,300.0,300.0,,,False
alpha,0.06999999999999999,0.06842105263157894,-1.3315203050010211,0.18358383266012746,False
n_heldin,242.9787234042553,242.52199413489737,-0.2593426076838084,0.7954931594624096,False
n_heldout,57.02127659574468,57.47800586510264,0.2593426076838148,0.7954931594624046,False
fr_scaling,1.0,1.0,,,False
dispersion,1.0,1.0,,,False
normalized_latent_size,0.6999113475177305,0.34466642228739003,-21.83558106613939,2.6286680448150485e-71,True
