hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836,Table_1,GNode,0.5,True,True,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836,Table_1,GNode,0.5,True,True,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
447dc50b,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.8772491216659546,0.9976436495780944,0.280406653881073,0.9115413427352904,Table_1,GNode,0.5,True,True,True,False
447dc50b,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.8772491216659546,0.9976436495780944,0.280406653881073,0.9115413427352904,Table_1,GNode,0.5,True,True,True,False
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367,Table_1,GNode,1.0,True,False,True,False
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367,Table_1,GNode,1.0,True,False,True,False
95b6b39c,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.909770369529724,0.998094916343689,0.2809344232082367,0.9698834419250488,Table_1,GNode,0.5,True,True,True,False
95b6b39c,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.909770369529724,0.998094916343689,0.2809344232082367,0.9698834419250488,Table_1,GNode,0.5,True,True,True,False
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456,Table_1,GNode,1.0,True,False,True,False
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456,Table_1,GNode,1.0,True,False,True,False
becc9a62,node,32,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.9095261693000792,0.9980675578117372,0.28091761469841,0.9698129892349244,Table_1,GNode,0.5,True,True,True,False
2ac77f90,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7462629079818726,0.995250642299652,0.2800574004650116,0.881373941898346,Table_1,GNode,1.0,True,False,True,False
becc9a62,node,32,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.9095261693000792,0.9980675578117372,0.28091761469841,0.9698129892349244,Table_1,GNode,0.5,True,True,True,False
2ac77f90,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7462629079818726,0.995250642299652,0.2800574004650116,0.881373941898346,Table_1,GNode,1.0,True,False,True,False
8aba258a,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.9074147939682008,0.9979655146598816,0.2808267772197723,0.968312680721283,Table_1,GNode,0.5,True,True,True,False
8aba258a,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.9074147939682008,0.9979655146598816,0.2808267772197723,0.968312680721283,Table_1,GNode,0.5,True,True,True,False
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008,Table_1,GNode,1.0,True,False,True,False
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008,Table_1,GNode,1.0,True,False,True,False
b9fe2392,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.9073686003684998,0.9979572892189026,0.2808214724063873,0.9682871103286744,Table_1,GNode,0.5,True,True,True,False
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577,Table_1,GNode,1.0,True,False,True,False
b9fe2392,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.9073686003684998,0.9979572892189026,0.2808214724063873,0.9682871103286744,Table_1,GNode,0.5,True,True,True,False
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577,Table_1,GNode,1.0,True,False,True,False
0a086b19,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.8705155849456787,0.99816232919693,0.2805121839046478,0.8788018226623535,Table_1,GNode,0.5,True,True,True,False
8eb73e78,gnode,10,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.9673804044723512,0.9985989332199096,0.2805954217910766,0.998477339744568,Table_1,GNode,0.15625,True,True,True,False
4ec1fc58,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.7231519818305969,0.9954119324684144,0.279944896697998,0.7767710089683533,Table_1,GNode,1.0,True,False,True,False
0a086b19,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.8705155849456787,0.99816232919693,0.2805121839046478,0.8788018226623535,Table_1,GNode,0.5,True,True,True,False
8eb73e78,gnode,10,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.9673804044723512,0.9985989332199096,0.2805954217910766,0.998477339744568,Table_1,GNode,0.15625,True,True,True,False
4ec1fc58,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.7231519818305969,0.9954119324684144,0.279944896697998,0.7767710089683533,Table_1,GNode,1.0,True,False,True,False
047eb157,gnode,10,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.966418981552124,0.9986838102340698,0.2806586027145386,0.9985533356666564,Table_1,GNode,0.15625,True,True,True,False
047eb157,gnode,10,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.966418981552124,0.9986838102340698,0.2806586027145386,0.9985533356666564,Table_1,GNode,0.15625,True,True,True,False
734917aa,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.8707526326179504,0.9981573224067688,0.2805121839046478,0.8800371289253235,Table_1,GNode,0.5,True,True,True,False
9dc644f8,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.719950795173645,0.9952558279037476,0.2799627482891083,0.7787560224533081,Table_1,GNode,1.0,True,False,True,False
734917aa,gnode,32,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.8707526326179504,0.9981573224067688,0.2805121839046478,0.8800371289253235,Table_1,GNode,0.5,True,True,True,False
9dc644f8,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.719950795173645,0.9952558279037476,0.2799627482891083,0.7787560224533081,Table_1,GNode,1.0,True,False,True,False
b7f1d587,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.9093714952468872,0.9981271624565125,0.2806026935577392,0.9649288654327391,Table_1,GNode,0.5,True,True,True,False
b7f1d587,node,32,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.9093714952468872,0.9981271624565125,0.2806026935577392,0.9649288654327391,Table_1,GNode,0.5,True,True,True,False
a9c6abc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.7260257601737976,0.9954444766044616,0.2800156474113464,0.8879155516624451,Table_1,GNode,1.0,True,False,True,False
a9c6abc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.7260257601737976,0.9954444766044616,0.2800156474113464,0.8879155516624451,Table_1,GNode,1.0,True,False,True,False
e3c824c4,node,32,500,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.9095651507377625,0.9981278777122498,0.2805984616279602,0.9655987024307252,Table_1,GNode,0.5,True,True,True,False
e3c824c4,node,32,500,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.9095651507377625,0.9981278777122498,0.2805984616279602,0.9655987024307252,Table_1,GNode,0.5,True,True,True,False
b8b48028,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.7259774208068848,0.9954658150672911,0.2800246775150299,0.8877130150794983,Table_1,GNode,1.0,True,False,True,False
b8b48028,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.7259774208068848,0.9954658150672911,0.2800246775150299,0.8877130150794983,Table_1,GNode,1.0,True,False,True,False
4781235d,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.9031215906143188,0.9981358647346495,0.2806036174297333,0.9601127505302428,Table_1,GNode,0.5,True,True,True,False
4781235d,node,32,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.9031215906143188,0.9981358647346495,0.2806036174297333,0.9601127505302428,Table_1,GNode,0.5,True,True,True,False
5b5eed4c,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.7182815670967102,0.9954570531845092,0.2800058722496032,0.8811537027359009,Table_1,GNode,1.0,True,False,True,False
5b5eed4c,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,200,300,0.05,200,100,1.0,softplus,,1.0,0.7182815670967102,0.9954570531845092,0.2800058722496032,0.8811537027359009,Table_1,GNode,1.0,True,False,True,False
fd514f56,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.9027843475341796,0.9981268048286438,0.2806021869182586,0.959792137145996,Table_1,GNode,0.5,True,True,True,False
fd514f56,node,32,501,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.9027843475341796,0.9981268048286438,0.2806021869182586,0.959792137145996,Table_1,GNode,0.5,True,True,True,False
4c2d6827,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.7180652022361755,0.9954856038093568,0.2800202369689941,0.8801525235176086,Table_1,GNode,1.0,True,False,True,False
4c2d6827,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.7180652022361755,0.9954856038093568,0.2800202369689941,0.8801525235176086,Table_1,GNode,1.0,True,False,True,False
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836,Table_1,GNode,0.5,True,True,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
35c1a647,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.874178409576416,0.9977057576179504,0.2804201245307922,0.9101433157920836,Table_1,GNode,0.5,True,True,True,False
536c050b,gnode,32,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.887793242931366,0.9966731071472168,0.2805096507072449,0.9062629342079164,Table_1,GNode,0.5,True,True,True,False
7c029f3f,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.7234116196632385,0.995337724685669,0.2803028225898742,0.7959923148155212,Table_1,GNode,1.0,True,False,True,False
