parameter,combo_mean,overall_mean,t_stat,p_value,significant
latent_size,281.77142857142854,108.60410557184751,-18.076878471352344,1.0067353080819746e-50,True
max_epochs,500.52142857142854,500.49560117302053,-0.9688638053646679,0.33315267334096044,False
seed,0.0,0.0,,,False
lr,0.00026285714285714286,0.0010527859237536657,23.377261619007474,1.2011625458556895e-91,True
weight_decay,9.142857142857145e-05,4.98533724340176e-05,-23.377261619007477,1.2011625458555872e-91,True
encoder_size,128.0,128.0,,,False
file_index,11.971428571428572,11.756598240469208,-0.605887991052487,0.5449049874768206,False
vf_hidden_size,96.0,104.42105263157895,1.2873255495018712,0.21000542697337324,False
vf_num_layers,3.0,3.0,,,False
heldin_size,241.14285714285714,242.52199413489737,0.8346445408706293,0.40433804741907076,False
heldout_size,300.0,300.0,,,False
alpha,0.075,0.06842105263157894,-1.2873255495018703,0.21000542697337338,False
n_heldin,241.14285714285714,242.52199413489737,0.8346445408706293,0.40433804741907076,False
n_heldout,58.857142857142854,57.47800586510264,-0.8346445408706189,0.40433804741907664,False
fr_scaling,1.0,1.0,,,False
dispersion,1.0,1.0,,,False
normalized_latent_size,0.5526785714285715,0.34466642228739003,-10.64844101359387,2.1203555420801891e-23,True
