hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756,Table_1,GNode,1.0,False,False,False,True
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848,Table_1,GNode,0.5,False,False,False,True
667d6c05,gru,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.8118053078651428,0.7637279033660889,0.2139040231704712,0.9994149208068848,Table_1,GNode,0.5,False,False,False,True
bb6d13e5,gru,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.6683540344238281,0.5797573924064636,0.142008751630783,0.9995513558387756,Table_1,GNode,1.0,False,False,False,True
4a30d451,gru,256,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.7976771593093872,0.7530490756034851,0.2101702988147735,0.999412477016449,Table_1,GNode,0.5,False,False,False,True
4a30d451,gru,256,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.7976771593093872,0.7530490756034851,0.2101702988147735,0.999412477016449,Table_1,GNode,0.5,False,False,False,True
3aaf083a,gru,512,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.6699446439743042,0.5816826820373535,0.1425351649522781,0.9995508193969728,Table_1,GNode,1.0,False,False,False,True
3aaf083a,gru,512,500,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.6699446439743042,0.5816826820373535,0.1425351649522781,0.9995508193969728,Table_1,GNode,1.0,False,False,False,True
f561fd9e,gru,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.843464195728302,0.7890853881835938,0.2203554809093475,0.999424695968628,Table_1,GNode,0.5,False,False,False,True
f561fd9e,gru,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.843464195728302,0.7890853881835938,0.2203554809093475,0.999424695968628,Table_1,GNode,0.5,False,False,False,True
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744,Table_1,GNode,1.0,False,False,False,True
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744,Table_1,GNode,1.0,False,False,False,True
