parameter,combo_mean,overall_mean,t_stat,p_value,significant
latent_size,64.0,108.60410557184751,10.787822847286828,5.1578701365434163e-26,True
max_epochs,500.4901960784314,500.49560117302053,0.1130046478494994,0.9102192686829934,False
seed,0.0,0.0,,,False
lr,0.0020000000000000005,0.0010527859237536657,-38.3840244546261,3.5603802482299e-214,True
weight_decay,0.0,4.98533724340176e-05,38.384024454626086,3.5603802482309123e-214,True
encoder_size,128.0,128.0,,,False
file_index,12.509803921568627,11.756598240469208,-1.1955718749965907,0.23425609556683763,False
vf_hidden_size,104.15686274509804,104.42105263157895,0.09311458600427507,0.9259473554774624,False
vf_num_layers,3.0,3.0,,,False
heldin_size,249.01960784313727,242.52199413489737,-2.1505268343421733,0.033524912892666625,True
heldout_size,300.0,300.0,,,False
alpha,0.06862745098039216,0.06842105263157894,-0.09311458600428038,0.9259473554774582,False
n_heldin,249.01960784313727,242.52199413489737,-2.1505268343421733,0.033524912892666625,True
n_heldout,50.98039215686274,57.47800586510264,2.150526834342171,0.033524912892666806,True
fr_scaling,1.0,1.0,,,False
dispersion,1.0,1.0,,,False
normalized_latent_size,1.0,0.34466642228739003,-82.21515896821744,0.0,True
