hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367,Table_1,GNode,1.0,True,False,True,False
f492a5f4,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7221543192863464,0.9952961206436156,0.2801245450973511,0.8313514590263367,Table_1,GNode,1.0,True,False,True,False
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456,Table_1,GNode,1.0,True,False,True,False
5affcbc0,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7456220984458923,0.9952282309532166,0.2800605893135071,0.8815239667892456,Table_1,GNode,1.0,True,False,True,False
2ac77f90,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7462629079818726,0.995250642299652,0.2800574004650116,0.881373941898346,Table_1,GNode,1.0,True,False,True,False
2ac77f90,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7462629079818726,0.995250642299652,0.2800574004650116,0.881373941898346,Table_1,GNode,1.0,True,False,True,False
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008,Table_1,GNode,1.0,True,False,True,False
cd9a7f6e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,280,300,0.05,280,20,1.0,softplus,,1.0,0.7494844794273376,0.9959921836853028,0.2803240716457367,0.8829927444458008,Table_1,GNode,1.0,True,False,True,False
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577,Table_1,GNode,1.0,True,False,True,False
2decde61,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,280,300,0.05,280,20,1.0,softplus,,1.0,0.7495462894439697,0.996005356311798,0.2803267240524292,0.8832191228866577,Table_1,GNode,1.0,True,False,True,False
4ec1fc58,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,250,300,0.1,250,50,1.0,softplus,,1.0,0.7231519818305969,0.9954119324684144,0.279944896697998,0.7767710089683533,Table_1,GNode,1.0,True,False,True,False
