parameter,combo_mean,overall_mean,t_stat,p_value,significant
latent_size,169.49019607843138,108.60410557184751,-3.073041788270985,0.0026774446729909214,True
max_epochs,500.4901960784314,500.49560117302053,0.1130046478494994,0.9102192686829934,False
seed,0.0,0.0,,,False
lr,0.00017450980392156852,0.0010527859237536657,20.92445265283368,3.2189031121471085e-55,True
weight_decay,9.607843137254902e-05,4.98533724340176e-05,-20.924452652833672,3.2189031121472454e-55,True
encoder_size,128.0,128.0,,,False
file_index,9.392156862745098,11.756598240469208,3.4803043487949066,0.0007081976949756068,True
vf_hidden_size,64.0,104.42105263157895,34.391484317318834,7.304025705542921e-151,True
vf_num_layers,3.0,3.0,,,False
heldin_size,246.66666666666666,242.52199413489737,-1.2832452302933592,0.20194433534418857,False
heldout_size,300.0,300.0,,,False
alpha,0.1,0.06842105263157894,-34.391484317318834,7.304025705542921e-151,True
n_heldin,246.66666666666666,242.52199413489737,-1.2832452302933592,0.20194433534418857,False
n_heldout,53.333333333333336,57.47800586510264,1.2832452302933592,0.20194433534418857,False
fr_scaling,1.0,1.0,,,False
dispersion,1.0,1.0,,,False
normalized_latent_size,0.3321078431372549,0.34466642228739003,0.32254832352138674,0.7476360461292413,False
