hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
7314c24b,fr,32,500,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.9255710244178772,0.5674997568130493,0.1132017001509666,0.9985395669937134,Table_2,GRU,0.0625,False,True,False,False
341766fc,fr,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.9255114197731018,0.5678228735923767,0.1133063286542892,0.9985511302947998,Table_2,GRU,0.0625,False,True,False,False
c631a64c,fr,64,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.866729199886322,0.3746554851531982,0.074505366384983,0.9965750575065612,Table_2,GRU,0.125,False,True,False,False
341766fc,fr,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.9255114197731018,0.5678228735923767,0.1133063286542892,0.9985511302947998,Table_2,GRU,0.0625,False,True,False,False
c631a64c,fr,64,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.866729199886322,0.3746554851531982,0.074505366384983,0.9965750575065612,Table_2,GRU,0.125,False,True,False,False
7314c24b,fr,32,500,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.9255710244178772,0.5674997568130493,0.1132017001509666,0.9985395669937134,Table_2,GRU,0.0625,False,True,False,False
945575ce,fr,64,500,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.8632076382637024,0.374398410320282,0.074447214603424,0.9965786933898926,Table_2,GRU,0.125,False,True,False,False
945575ce,fr,64,500,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.8632076382637024,0.374398410320282,0.074447214603424,0.9965786933898926,Table_2,GRU,0.125,False,True,False,False
e3b78345,fr,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.9064145684242249,0.5608255863189697,0.1117350757122039,0.998613715171814,Table_2,GRU,0.0625,False,True,False,False
e3b78345,fr,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.9064145684242249,0.5608255863189697,0.1117350757122039,0.998613715171814,Table_2,GRU,0.0625,False,True,False,False
7cb6f585,fr,32,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.900898575782776,0.5585504174232483,0.1112661212682724,0.9986237287521362,Table_2,GRU,0.0625,False,True,False,True
7cb6f585,fr,32,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.900898575782776,0.5585504174232483,0.1112661212682724,0.9986237287521362,Table_2,GRU,0.0625,False,True,False,True
ff61b4da,fr,64,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.8647246360778809,0.3739754259586334,0.0743675306439399,0.9965751767158508,Table_2,GRU,0.125,False,True,False,False
