Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model
node,node_2_0,0,0.27663762484181637,0.4027710944053678,node,2,False
node,node_2_0fbc1dba,0fbc1dba,-0.30463617914822483,-0.2957298061097549,node,2,False
node,node_2_5aeb895e,5aeb895e,0.04186452224892054,-0.42773300085486393,node,2,False
node,node_2_17b7b1c2,17b7b1c2,-0.29919426555764617,0.24861660620624554,node,2,False
node,node_2_0dba453e,0dba453e,0.39249883418390064,-0.04631407900694229,node,2,False
node,node_2_7b73ff55,7b73ff55,-0.24021250232373267,-0.18314879217854538,node,2,False
node,node_2_bd004705,bd004705,0.34589970381668855,-0.405449973719283,node,2,False
node,node_2_c6b46acf,c6b46acf,0.1573729707794269,0.4727855406893858,node,2,False
node,node_2_096a437d,096a437d,0.10468136842315558,-0.27726657642478253,node,2,False
node,node_2_fbf80095,fbf80095,-0.34828036559326536,-0.4031703773494676,node,2,False
node,node_2_ba6db52b,ba6db52b,0.392755315466646,-0.08680752904133471,node,2,False
node,node_2_2d0a93d1,2d0a93d1,0.3445350311348543,0.2974107351800318,node,2,False
node,node_2_655dff95,655dff95,-0.04653222272413189,0.23330589863646628,node,2,False
node,node_2_9fc5a207,9fc5a207,0.008756389042775469,-0.2733540808964645,node,2,False
node,node_2_7043f7cf,7043f7cf,-0.47558270436862754,0.13742090826004133,node,2,False
node,node_2_4bf5646a,4bf5646a,-0.08391947461448182,0.35602721123442627,node,2,False
node,node_2_0b6fac9c,0b6fac9c,0.20820315493250463,0.26512851739168486,node,2,False
node,node_2_fb24d9f8,fb24d9f8,-0.06198326825753569,-0.3698148476847852,node,2,False
node,node_2_c9445502,c9445502,0.22423664111409358,0.16987930118882358,node,2,False
node,node_2_26bbb2cc,26bbb2cc,-0.23238297325765003,-0.0014582110626436028,node,2,False
node,node_2_5381e3f2,5381e3f2,0.17575646814124596,0.3812868044018626,node,2,False
node,node_2_707c0cca,707c0cca,0.43051059183533086,-0.31696053358214404,node,2,False
node,node_2_df77dd6f,df77dd6f,-0.4852932494470082,-0.07697291824335803,node,2,False
node,node_2_3341a8ee,3341a8ee,-0.03229359609891855,-0.4010975607061113,node,2,False
node,node_2_d3a07ea8,d3a07ea8,-0.39237817420986915,0.01714639185713476,node,2,False
node,node_2_6f4adc8d,6f4adc8d,0.4883640622861967,0.10256585030492836,node,2,False
node,node_2_2ac658f3,2ac658f3,0.11275373787515558,-0.02962240391052222,node,2,False
node,node_2_9f1d7262,9f1d7262,-0.024764249465629884,0.020525268647103866,node,2,False
node,node_2_224680b9,224680b9,0.4775687931107328,0.1760313417274318,node,2,False
node,node_2_429822ab,429822ab,-0.2333032201277261,0.28400468998447204,node,2,False
node,node_2_3db18318,3db18318,-0.45382446409677396,0.12337074984106808,node,2,False
node,node_2_a2252f81,a2252f81,-0.3001439951450636,0.4358730392309852,node,2,False
node,node_2_beb680f1,beb680f1,0.3273729461047029,-0.12263348677572937,node,2,False
node,node_2_f3135e0e,f3135e0e,-0.05619817342238442,0.37820898541306974,node,2,False
node,node_2_92985aca,92985aca,-0.08101286783643902,-0.4536784265916201,node,2,False
node,node_2_f72b5ec1,f72b5ec1,0.4490349798092974,0.2527706026363141,node,2,False
node,node_2_f9d4a623,f9d4a623,-0.3939965430687268,-0.35387707522170925,node,2,False
node,node_2_d2134b59,d2134b59,0.18012240656923972,0.3295705737856921,node,2,False
node,node_2_3dcc0bde,3dcc0bde,0.34582481748146504,-0.436151030146549,node,2,False
node,node_2_cf88fd13,cf88fd13,-0.4518223540031121,-0.2597478302796964,node,2,False
node,node_2_64137f30,64137f30,0.4671250267764475,-0.13641520075873645,node,2,False
node,node_2_8e46ce51,8e46ce51,0.28378344874920236,0.3738227238000651,node,2,False
node,node_2_a8626884,a8626884,-0.37187214577320454,-0.4487011084887413,node,2,False
node,node_2_de05d2bf,de05d2bf,0.4067599659455202,-0.2663687583706576,node,2,False
node,node_2_ea333e5e,ea333e5e,0.07383580280782698,0.35456905952544104,node,2,False
node,node_2_f3657ba0,f3657ba0,0.31573569448472416,0.38073453797950585,node,2,False
node,node_2_332f2ac9,332f2ac9,0.24169858243557088,-0.4927180882245816,node,2,False
node,node_2_ba82a6d1,ba82a6d1,-0.23199265891778004,0.2857607265582785,node,2,False
node,node_2_8558d258,8558d258,0.4386072276586371,-0.17863794768525484,node,2,False
node,node_2_ceb58bd8,ceb58bd8,0.39730449593789696,0.2957425530206297,node,2,False
node,node_2_8f69cfdc,8f69cfdc,0.19439627567505421,0.4528681640725753,node,2,False
node,node_2_62b9e2e9,62b9e2e9,-0.19365866856996533,-0.1662701944686591,node,2,False
node,node_2_309eb94c,309eb94c,0.038440003736092125,0.06545683065002263,node,2,False
node,node_2_d7001813,d7001813,0.1552448115208789,-0.03794166080376213,node,2,False
node,node_2_6d63ae4a,6d63ae4a,-0.37093239335662126,0.22524246118582417,node,2,False
node,node_2_7d511902,7d511902,0.12487619635675329,0.2698945715211028,node,2,False
node,node_2_0cc3384a,0cc3384a,0.45428514365655437,-0.024585587489262106,node,2,False
node,node_2_398e186f,398e186f,0.4124716665157301,0.16261961122104632,node,2,False
node,node_2_01745b0e,01745b0e,-0.10733404389091583,0.18852417213731615,node,2,False
node,node_2_5507ff92,5507ff92,0.22256724586346205,-0.4758643445126841,node,2,False
node,node_2_6fabb7c5,6fabb7c5,-0.3225412409115037,-0.3800156570252082,node,2,False
node,node_2_c41cfd0f,c41cfd0f,-0.49225205843913716,-0.3081023324645125,node,2,False
node,node_2_a7380367,a7380367,0.006702667260454757,-0.3255514257419937,node,2,False
node,node_2_662d3bc2,662d3bc2,-0.4645140631749657,-0.20831516820471782,node,2,False
node,node_2_ee6f4460,ee6f4460,0.10251330004355846,0.1683962806836828,node,2,False
node,node_2_49e261a4,49e261a4,-0.4140809467294302,0.3603057296455698,node,2,False
node,node_2_1a17da42,1a17da42,0.42497809376092177,-0.2119626498139499,node,2,False
node,node_2_d427903d,d427903d,0.25753218149742013,-0.07566856873542047,node,2,False
node,node_2_7a31afc2,7a31afc2,-0.16513590932322902,0.28172974400386336,node,2,False
node,node_2_a4d81a60,a4d81a60,-0.06420780599665062,0.1511044983608636,node,2,False
node,node_2_106f9119,106f9119,-0.4694444995134285,0.22508469497576308,node,2,False
node,node_2_2c321edb,2c321edb,0.3155053393623414,-0.08803086865320335,node,2,False
node,node_2_188ab288,188ab288,-0.5022030143084539,0.26120989084063795,node,2,False
gru,gru_2_0,0,0.3154028715217479,-0.2922616870208836,gru,2,False
gru,gru_2_46cff600,46cff600,0.19260958183825097,-0.22377385936936783,gru,2,False
gru,gru_2_3c418561,3c418561,0.36650899571777723,0.18897495428192312,gru,2,False
gru,gru_2_c75c4553,c75c4553,-0.03132230233309462,0.4470719169629653,gru,2,False
gru,gru_2_beb045e5,beb045e5,-0.07961482563271448,-0.10211689051888669,gru,2,False
gru,gru_2_ccdb1b61,ccdb1b61,0.4867205976444168,0.0759628432318588,gru,2,False
gru,gru_2_fb2a0050,fb2a0050,0.44345531286120693,-0.0845686649683465,gru,2,False
gru,gru_2_a90fc898,a90fc898,-0.28753453636090043,-0.2548927183379606,gru,2,False
gru,gru_2_9c7ed973,9c7ed973,0.25301826410058637,-0.02488584213379286,gru,2,False
gru,gru_2_46cff600,46cff600,0.06119139247917206,0.49846039106591966,gru,2,False
gru,gru_2_3c418561,3c418561,-0.31468250915416673,-0.194046513101198,gru,2,False
gru,gru_2_c75c4553,c75c4553,-0.45579643275261583,0.22918732272771608,gru,2,False
gru,gru_2_beb045e5,beb045e5,0.05586751633175174,0.44911444458857935,gru,2,False
gru,gru_2_ccdb1b61,ccdb1b61,-0.20012884807681713,0.17001423870450016,gru,2,False
gru,gru_2_fb2a0050,fb2a0050,-0.460308424585202,-0.40723095122526937,gru,2,False
gru,gru_2_a90fc898,a90fc898,0.43660665617995026,-0.43738143112469996,gru,2,False
gru,gru_2_9c7ed973,9c7ed973,-0.3487875281493226,-0.30264762233252235,gru,2,False
gru,gru_2_1252e030,1252e030,0.48732982575578554,-0.062064567032975936,gru,2,False
gru,gru_2_2108a045,2108a045,-0.43778984936101895,-0.337824914776892,gru,2,False
gru,gru_2_efe15f6a,efe15f6a,0.08621029550063207,-0.22815119146819018,gru,2,False
gru,gru_2_6113c2a1,6113c2a1,0.403872235817013,0.09520103656942365,gru,2,False
gru,gru_2_8f46fe6d,8f46fe6d,-0.28078723966040947,-0.4604255457043256,gru,2,False
gru,gru_2_2ce0f713,2ce0f713,-0.4934506966623093,-0.11348167004388299,gru,2,False
gru,gru_2_4abacb9e,4abacb9e,0.42663552582683173,-0.13369657528633738,gru,2,False
gru,gru_2_1d4cc959,1d4cc959,-0.47741592991786824,0.41543225491412755,gru,2,False
gru,gru_2_1c2b2641,1c2b2641,-0.547879035569531,-0.13161071081601808,gru,2,False
gru,gru_2_141ebfef,141ebfef,-0.09071301644761558,0.3190811662388889,gru,2,False
