model_label,model_type,hash_value,reduced_dimension,is_true_model
node_2_0,node,0,2,False
node_2_0fbc1dba,node,0fbc1dba,2,False
node_2_5aeb895e,node,5aeb895e,2,False
node_2_17b7b1c2,node,17b7b1c2,2,False
node_2_0dba453e,node,0dba453e,2,False
node_2_7b73ff55,node,7b73ff55,2,False
node_2_bd004705,node,bd004705,2,False
node_2_c6b46acf,node,c6b46acf,2,False
node_2_096a437d,node,096a437d,2,False
node_2_fbf80095,node,fbf80095,2,False
node_2_ba6db52b,node,ba6db52b,2,False
node_2_2d0a93d1,node,2d0a93d1,2,False
node_2_655dff95,node,655dff95,2,False
node_2_9fc5a207,node,9fc5a207,2,False
node_2_7043f7cf,node,7043f7cf,2,False
node_2_4bf5646a,node,4bf5646a,2,False
node_2_0b6fac9c,node,0b6fac9c,2,False
node_2_fb24d9f8,node,fb24d9f8,2,False
node_2_c9445502,node,c9445502,2,False
node_2_26bbb2cc,node,26bbb2cc,2,False
node_2_5381e3f2,node,5381e3f2,2,False
node_2_707c0cca,node,707c0cca,2,False
node_2_df77dd6f,node,df77dd6f,2,False
node_2_3341a8ee,node,3341a8ee,2,False
node_2_d3a07ea8,node,d3a07ea8,2,False
node_2_6f4adc8d,node,6f4adc8d,2,False
node_2_2ac658f3,node,2ac658f3,2,False
node_2_9f1d7262,node,9f1d7262,2,False
node_2_224680b9,node,224680b9,2,False
node_2_429822ab,node,429822ab,2,False
node_2_3db18318,node,3db18318,2,False
node_2_a2252f81,node,a2252f81,2,False
node_2_beb680f1,node,beb680f1,2,False
node_2_f3135e0e,node,f3135e0e,2,False
node_2_92985aca,node,92985aca,2,False
node_2_f72b5ec1,node,f72b5ec1,2,False
node_2_f9d4a623,node,f9d4a623,2,False
node_2_d2134b59,node,d2134b59,2,False
node_2_3dcc0bde,node,3dcc0bde,2,False
node_2_cf88fd13,node,cf88fd13,2,False
node_2_64137f30,node,64137f30,2,False
node_2_8e46ce51,node,8e46ce51,2,False
node_2_a8626884,node,a8626884,2,False
node_2_de05d2bf,node,de05d2bf,2,False
node_2_ea333e5e,node,ea333e5e,2,False
node_2_f3657ba0,node,f3657ba0,2,False
node_2_332f2ac9,node,332f2ac9,2,False
node_2_ba82a6d1,node,ba82a6d1,2,False
node_2_8558d258,node,8558d258,2,False
node_2_ceb58bd8,node,ceb58bd8,2,False
node_2_8f69cfdc,node,8f69cfdc,2,False
node_2_62b9e2e9,node,62b9e2e9,2,False
node_2_309eb94c,node,309eb94c,2,False
node_2_d7001813,node,d7001813,2,False
node_2_6d63ae4a,node,6d63ae4a,2,False
node_2_7d511902,node,7d511902,2,False
node_2_0cc3384a,node,0cc3384a,2,False
node_2_398e186f,node,398e186f,2,False
node_2_01745b0e,node,01745b0e,2,False
node_2_5507ff92,node,5507ff92,2,False
node_2_6fabb7c5,node,6fabb7c5,2,False
node_2_c41cfd0f,node,c41cfd0f,2,False
node_2_a7380367,node,a7380367,2,False
node_2_662d3bc2,node,662d3bc2,2,False
node_2_ee6f4460,node,ee6f4460,2,False
node_2_49e261a4,node,49e261a4,2,False
node_2_1a17da42,node,1a17da42,2,False
node_2_d427903d,node,d427903d,2,False
node_2_7a31afc2,node,7a31afc2,2,False
node_2_a4d81a60,node,a4d81a60,2,False
node_2_106f9119,node,106f9119,2,False
node_2_2c321edb,node,2c321edb,2,False
node_2_188ab288,node,188ab288,2,False
gru_2_0,gru,0,2,False
gru_2_46cff600,gru,46cff600,2,False
gru_2_3c418561,gru,3c418561,2,False
gru_2_c75c4553,gru,c75c4553,2,False
gru_2_beb045e5,gru,beb045e5,2,False
gru_2_ccdb1b61,gru,ccdb1b61,2,False
gru_2_fb2a0050,gru,fb2a0050,2,False
gru_2_a90fc898,gru,a90fc898,2,False
gru_2_9c7ed973,gru,9c7ed973,2,False
gru_2_46cff600,gru,46cff600,2,False
gru_2_3c418561,gru,3c418561,2,False
gru_2_c75c4553,gru,c75c4553,2,False
gru_2_beb045e5,gru,beb045e5,2,False
gru_2_ccdb1b61,gru,ccdb1b61,2,False
gru_2_fb2a0050,gru,fb2a0050,2,False
gru_2_a90fc898,gru,a90fc898,2,False
gru_2_9c7ed973,gru,9c7ed973,2,False
gru_2_1252e030,gru,1252e030,2,False
gru_2_2108a045,gru,2108a045,2,False
gru_2_efe15f6a,gru,efe15f6a,2,False
gru_2_6113c2a1,gru,6113c2a1,2,False
gru_2_8f46fe6d,gru,8f46fe6d,2,False
gru_2_2ce0f713,gru,2ce0f713,2,False
gru_2_4abacb9e,gru,4abacb9e,2,False
gru_2_1d4cc959,gru,1d4cc959,2,False
gru_2_1c2b2641,gru,1c2b2641,2,False
